,asin,url,title,seller,price,stars,ratings
0,B0BZCR6TNK,https://www.amazon.in/dp/B0BZCR6TNK,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,16490,,"13,319 ratings"
1,B0B4F2XCK3,https://www.amazon.in/dp/B0B4F2XCK3,"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",STPL Exclusive Online,12999,,"29,787 ratings"
2,B0CBRN65NP,https://www.amazon.in/dp/B0CBRN65NP,"Lava Blaze 5G (Glass Blue, 8GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 16GB Expandable RAM | Charger Included | Clean Android (No Bloatware)",Appario Retail Private Ltd,11049,,"5,910 ratings"
3,B0CKN56PQ8,https://www.amazon.in/dp/B0CKN56PQ8,"realme narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",NAINTARA TRADELINK,11649,,"10,554 ratings"
4,B0CGDQ9SN7,https://www.amazon.in/dp/B0CGDQ9SN7,"realme narzo 60X 5G（Stellar Green, 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,12999,,"4,021 ratings"
5,B0BZ466BWW,https://www.amazon.in/dp/B0BZ466BWW,"realme narzo N55 (Prime Blue, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera",Darshita Etel,12999,,"9,741 ratings"
6,B0BZ48H8JX,https://www.amazon.in/dp/B0BZ48H8JX,"realme narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera",Darshita Etel,12999,,"9,741 ratings"
7,B0CHFBKXHP,https://www.amazon.in/dp/B0CHFBKXHP,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Pink,Appario Retail Private Ltd,12599,,"1,326 ratings"
8,B0CGDQ7VNL,https://www.amazon.in/dp/B0CGDQ7VNL,"realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,12999,,"4,021 ratings"
9,B0B4F52B5X,https://www.amazon.in/dp/B0B4F52B5X,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",STPL Exclusive Online,10999,,"29,787 ratings"
