asin,url,title,seller,price,stars,ratings
B0BZCR6TNK,https://www.amazon.in/dp/B0BZCR6TNK,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,12990,4.0,"13,708 ratings"
B0C7C1DRK5,https://www.amazon.in/dp/B0C7C1DRK5,"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",STPL Exclusive Online,16499,3.9,"8,751 ratings"
B0CGDQ9SN7,https://www.amazon.in/dp/B0CGDQ9SN7,"realme narzo 60X 5G（Stellar Green, 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,12999,4.1,"4,383 ratings"
B0BZCSNTT4,https://www.amazon.in/dp/B0BZCSNTT4,"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,12990,4.0,"13,708 ratings"
B0CHFBKXHP,https://www.amazon.in/dp/B0CHFBKXHP,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Pink,Appario Retail Private Ltd,12599,3.8,"1,437 ratings"
B0BZCSSNV7,https://www.amazon.in/dp/B0BZCSSNV7,"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,12990,4.0,"13,708 ratings"
B07WFP331D,https://www.amazon.in/dp/B07WFP331D,"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,16999,4.1,"11,816 ratings"
B0BZCSMP95,https://www.amazon.in/dp/B0BZCSMP95,"Samsung Galaxy M14 5G (ICY Silver,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,11990,4.0,"13,708 ratings"
B0CDXHYHZ6,https://www.amazon.in/dp/B0CDXHYHZ6,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Grey,Appario Retail Private Ltd,12599,3.8,"1,437 ratings"
B0CGDQRR9Y,https://www.amazon.in/dp/B0CGDQRR9Y,"realme narzo 60X 5G（Stellar Green,6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,14499,4.1,"4,383 ratings"
